epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,5924.72,1.53564,1.68714,0.02328,0.48939,0.61882,0.58629,0.2649,1.81254,1.59625,0.04477,0.000628101,0.000628101,0.000628101
86,5990.26,1.54156,1.65784,0.02276,0.50062,0.62321,0.57993,0.2703,1.8256,1.59071,0.04519,0.000620555,0.000620555,0.000620555
87,6053.97,1.56495,1.69085,0.02276,0.48132,0.60351,0.5664,0.2611,1.81017,1.61257,0.04453,0.000612981,0.000612981,0.000612981
88,6117.59,1.51873,1.70323,0.02334,0.54096,0.6183,0.58517,0.27718,1.76249,1.57531,0.04366,0.00060538,0.00060538,0.00060538
89,6182.12,1.54807,1.64942,0.0227,0.50024,0.62728,0.57754,0.26668,1.76676,1.59561,0.04355,0.000597754,0.000597754,0.000597754
90,6247.86,1.53612,1.70234,0.02294,0.53601,0.59288,0.57441,0.26918,1.75738,1.59021,0.04271,0.000590105,0.000590105,0.000590105
91,6314.4,1.52264,1.67978,0.02244,0.48786,0.61213,0.56886,0.26797,1.74552,1.60545,0.04388,0.000582435,0.000582435,0.000582435
92,6379.47,1.50866,1.61801,0.0214,0.473,0.62053,0.59537,0.28191,1.74124,1.60813,0.04306,0.000574746,0.000574746,0.000574746
93,6443.67,1.52041,1.6296,0.02203,0.51362,0.6496,0.6122,0.2884,1.76086,1.58047,0.04357,0.00056704,0.00056704,0.00056704
94,6508.07,1.5152,1.66489,0.02275,0.49479,0.61205,0.60012,0.29183,1.7684,1.47261,0.04307,0.000559318,0.000559318,0.000559318
95,6573.4,1.52075,1.62596,0.02235,0.55588,0.59473,0.61512,0.28615,1.79698,1.55797,0.04412,0.000551584,0.000551584,0.000551584
96,6639.52,1.5343,1.64751,0.02226,0.47146,0.64587,0.55776,0.25606,1.77146,1.63746,0.04341,0.000543837,0.000543837,0.000543837
97,6707.74,1.4956,1.68137,0.02132,0.49343,0.60368,0.58291,0.28044,1.7853,1.55947,0.04386,0.000536081,0.000536081,0.000536081
98,6772.39,1.51035,1.61761,0.02134,0.47525,0.59946,0.55976,0.26155,1.73103,1.58015,0.04347,0.000528318,0.000528318,0.000528318
99,6848.75,1.50432,1.60627,0.02112,0.52092,0.6251,0.58578,0.28725,1.74033,1.56167,0.04288,0.000520548,0.000520548,0.000520548
100,6915.9,1.50238,1.58593,0.02156,0.5301,0.55163,0.55431,0.27283,1.83169,1.58815,0.04512,0.000512775,0.000512775,0.000512775
101,6981.16,1.50682,1.59127,0.02211,0.53492,0.60113,0.59814,0.28668,1.74506,1.54305,0.04193,0.000505,0.000505,0.000505
102,7046.3,1.50494,1.58365,0.0225,0.50962,0.6175,0.56954,0.27065,1.75441,1.57307,0.04256,0.000497225,0.000497225,0.000497225
103,7112.93,1.50962,1.57393,0.02198,0.49969,0.62403,0.57777,0.26591,1.83185,1.5589,0.04456,0.000489452,0.000489452,0.000489452
104,7177.83,1.50586,1.59696,0.02225,0.55113,0.565,0.58211,0.28526,1.79466,1.55673,0.04491,0.000481682,0.000481682,0.000481682
